player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG
Aaron Cresswell,10,900,0,0.14092829637229443,0,1.3549927426502109,3,13,D,West Ham,0,0.14092829637229443
Manuel Lanzini,10,532,0,0.8131195548921824,1,0.9218550473451614,8,10,F M S,West Ham,0,0.8131195548921824
Andy Carroll,10,426,0,0.6566708646714687,3,0.7484664022922516,10,8,F S,Newcastle United,0,0.6566708646714687
Darren Randolph,2,180,0,0,0,0,0,0,GK,West Ham,0,0
David de Gea,10,900,0,0,0,0,0,0,GK,Manchester United,0,0
Marcos Rojo,3,119,0,0.13206884264945984,0,0,1,0,D S,Manchester United,0,0.13206884264945984
Morgan Schneiderlin,10,611,0,0.2494218572974205,0,0.0854426771402359,4,3,M S,Everton,0,0.2494218572974205
Juan Mata,10,424,0,0.5150623098015785,2,1.8238663356751204,6,13,M S,Manchester United,0,0.5150623098015785
Jesse Lingard,10,443,0,1.5717123672366142,0,0.38501271791756153,13,8,M S,Manchester United,0,1.5717123672366142
Sebastian Prödl,1,57,0,0.057957686483860016,0,0,2,0,D,Watford,0,0.057957686483860016
José Holebas,10,826,0,0.2385536441579461,0,0.5049347430467606,6,10,D S,Watford,0,0.2385536441579461
Etienne Capoue,10,900,0,0.1615739818662405,2,1.2048131600022316,6,6,M,Watford,0,0.1615739818662405
Odion Ighalo,3,25,0,1.1358636170625687,0,0.04246634244918823,4,1,S,Manchester United,0,1.1358636170625687
Craig Cathcart,10,898,0,0,0,0.03763312101364136,0,1,D,Watford,0,0
Seamus Coleman,10,522,0,0.0842368844896555,0,0.16819685511291027,2,3,D S,Everton,0,0.0842368844896555
John Stones,10,724,0,0.5476326206699014,0,0.018912678584456444,6,1,D S,Manchester City,0,0.5476326206699014
Phil Jagielka,4,123,0,0,0,0,0,0,D S,Sheffield United,0,0
Leighton Baines,5,333,0,0.043360382318496704,0,0.642377894371748,1,5,D S,Everton,0,0.043360382318496704
James McCarthy,10,742,0,0.13607852812856436,0,0.850141990929842,5,8,M S,Crystal Palace,0,0.13607852812856436
Ross Barkley,10,427,0,1.8464581295847893,1,1.5050772912800312,19,7,M S,Chelsea,0,1.8464581295847893
Aaron Lennon,10,273,0,0,0,0.15801358222961426,0,2,M S,Burnley,0,0
Oumar Niasse,3,17,0,0,0,0,0,0,S,Everton,0,0
Dejan Lovren,9,759,0,0.19115081522613764,1,0.30198830366134644,4,1,D,Liverpool,0,0.19115081522613764
Pablo Zabaleta,10,585,0,0,0,0.589325562119484,0,3,D M S,West Ham,0,0
Fernandinho,10,873,0,0.18084791116416454,0,0.20863724499940872,4,4,D,Manchester City,0,0.18084791116416454
David Silva,10,703,0,1.4063337296247482,3,2.240856595337391,18,23,M S,Manchester City,0,1.4063337296247482
Willy Caballero,4,360,0,0,0,0,0,0,GK,Chelsea,0,0
Ashley Young,10,809,0,0,0,1.4062031134963036,0,13,D M S,Manchester United,0,0
James McArthur,10,897,0,0.6194114610552788,0,0.8875093758106232,6,6,M,Crystal Palace,0,0.6194114610552788
Alex McCarthy,10,900,0,0,0,0,0,0,GK,Southampton,0,0
Hugo Lloris,10,818,0,0,0,0,0,0,GK,Tottenham,0,0
Kyle Walker,10,900,0,0.05416521243751049,0,0.377553379163146,3,5,D M,Manchester City,0,0.05416521243751049
Danny Rose,10,628,0,0.07020454108715057,0,0.08239198103547096,1,4,D M S,"Newcastle United,Tottenham",0,0.07020454108715057
Eric Dier,10,610,0,0.500153660774231,2,0.2068697577342391,3,5,D M S,Tottenham,0,0.500153660774231
Erik Lamela,10,375,0,0.864570863544941,0,0.4142749346792698,14,6,F M S,Tottenham,0,0.864570863544941
Ben Davies,9,630,0,0.08826831541955471,0,0.6759037300944328,2,5,D M S,Tottenham,0,0.08826831541955471
Carlos Sánchez,6,107,0,0,0,0,0,0,M S,West Ham,0,0
Pedro,8,569,0,1.7593566216528416,0,0.8993295840919018,18,15,F M S,Chelsea,0,1.7593566216528416
Nemanja Matic,10,853,0,0.09721910767257214,1,0.5123528465628624,4,9,M,Manchester United,0,0.09721910767257214
Gary Cahill,10,900,0,0.9435975374653935,1,0.36361387372016907,8,1,D,Crystal Palace,0,0.9435975374653935
Willian,10,668,0,0.8013287298381329,1,1.0399314649403095,12,18,F M S,Chelsea,0,0.8013287298381329
Fikayo Tomori,10,849,0,0.5151473395526409,0,0.048876695334911346,5,2,D,Chelsea,0,0.5151473395526409
Lukasz Fabianski,10,767,0,0,0,0,0,0,GK,West Ham,0,0
Federico Fernández,10,886,0,0.2577769495546818,0,0.2659415304660797,4,1,D,Newcastle United,0,0.2577769495546818
Neil Taylor,10,789,0,0.12685371190309525,0,0.0630219355225563,3,1,D M S,Aston Villa,0,0.12685371190309525
Jack Cork,10,899,0,0.34327796194702387,0,0.3670690059661865,7,5,M,Burnley,0,0.34327796194702387
Gylfi Sigurdsson,10,858,0,1.39662466943264,1,1.150658412836492,13,18,M,Everton,0,1.39662466943264
Ki Sung-yueng,3,137,0,0,0,0.05511658266186714,0,2,M S,Newcastle United,0,0
Jordan Pickford,10,900,0,0,0,0,0,0,GK,Everton,0,0
Dwight Gayle,10,276,0,1.2672728598117828,1,0.12719932571053505,6,3,F S,Newcastle United,0,1.2672728598117828
Kasper Schmeichel,10,900,0,0,0,0,0,0,GK,Leicester,0,0
Wes Morgan,8,148,0,0.502011775970459,0,0,2,0,D S,Leicester,0,0.502011775970459
Christian Fuchs,8,631,0,0.1832248093560338,0,0.10093383491039276,5,2,D S,Leicester,0,0.1832248093560338
N&#039;Golo Kanté,10,802,0,0.35503973439335823,0,0.6127185970544815,7,13,M,Chelsea,0,0.35503973439335823
Daniel Drinkwater,5,331,0,0.09834551066160202,0,0.04091440886259079,2,1,M,"Aston Villa,Burnley",0,0.09834551066160202
Marc Albrighton,10,279,0,0.1031296830624342,1,1.1665968149900436,3,6,M S,Leicester,0,0.1031296830624342
Daryl Janmaat,8,611,0,0.33076496608555317,1,0.39833011105656624,4,6,D M S,Watford,0,0.33076496608555317
Ryan Bennett,10,516,0,0,0,0.09054247103631496,0,2,D S,Wolverhampton Wanderers,0,0
Alexander Tettey,10,873,0,0.3087092759087682,0,0.1895113866776228,11,4,M,Norwich,0,0.3087092759087682
Ben Foster,10,900,0,0,0,0,0,0,GK,Watford,0,0
Craig Dawson,10,703,0,0.010078364051878452,0,0.09290936402976513,1,2,D S,Watford,0,0.010078364051878452
Jonny Evans,10,897,0,0.6913550030440092,0,0.03308404516428709,8,2,D,Leicester,0,0.6913550030440092
Adam Smith,10,893,0,0.043877205811440945,0,0.08884592354297638,2,4,D M,Bournemouth,0,0.043877205811440945
Ryan Bertrand,10,900,0,0.23761139437556267,0,1.2588088866323233,7,12,D,Southampton,0,0.23761139437556267
Victor Wanyama,2,21,0,0,0,0,0,0,S,Tottenham,0,0
Oriol Romeu,10,248,0,0,0,0.15468961745500565,0,4,M S,Southampton,0,0
James Ward-Prowse,10,900,0,0.2164823543280363,1,1.7375033181160688,5,19,D M,Southampton,0,0.2164823543280363
Maya Yoshida,8,555,0,0.9399021724238992,0,0.07044664770364761,5,1,D S,Southampton,0,0.9399021724238992
